Utterance,Type,ID,NJ,WE,RA,AL,RF,SA
"Hi Ms. Clark. My name is Alan Lime, and I'm a social worker here at the Family Health Center. Dr. Seal asked if I would spend some time with you today. I'm glad you're here, but I'm curious why he sent you to see me.",T,67I6g1I7Zao_1,1.0,1.0,1.0,1.0,0.0,2.0
I saw Dr. Seal last week for increasing stress and anxiety. I mentioned that my occasional glasses of wine have turned into three or four glasses some nights. He had some concerns about that and felt you could help me with the stress.,P,67I6g1I7Zao_2,,,,,,
"So you went to him for stress, and he's concerned your alcohol consumption might be part of that. I see you filled out this sheet for me.",T,67I6g1I7Zao_3,1.0,0.0,0.0,1.0,0.0,2.0
"You noted here that you have four or more drinks in a week, and sometimes more in one sitting. What kind of drinks do you typically have?",T,67I6g1I7Zao_4,1.0,0.0,0.0,1.0,0.0,2.0
"Usually wine with my meals. It used to be one or two glasses, but it's been more like three or four since my stress increased.",P,67I6g1I7Zao_5,,,,,,
"Based on your form, you scored six points, which puts you in the 'at-risk' zone. This level of drinking can increase stress and cause physical ailments. For a healthy woman your age, the recommendation is no more than three drinks in a sitting and seven in a week. What do you make of that?",T,67I6g1I7Zao_6,1.0,0.0,0.0,1.0,0.0,2.0
That's news to me. I thought red wine was supposed to be healthy. Seven a week seems very low.,P,67I6g1I7Zao_7,,,,,,
"It's certainly less than you've been drinking. Dr. Seal is likely concerned about the interaction between alcohol, stress, and any medication he might prescribe. What is it that you like about alcohol?",T,67I6g1I7Zao_8,1.0,1.0,1.0,2.0,1.0,2.0
"It temporarily reduces my stress, and I enjoy the taste of a good glass of wine.",P,67I6g1I7Zao_9,,,,,,
"On the downside, if I have too many glasses, I wake up feeling bad. Also, I like expensive wine, so drinking more increases my financial burden, which is one of my stressors.",P,67I6g1I7Zao_10,,,,,,
"It sounds like a catch-22; you're drinking to reduce stress, but it's also increasing your stress.",T,67I6g1I7Zao_11,1.0,0.0,0.0,1.0,0.0,2.0
Maybe I need to find another way to deal with my stress.,P,67I6g1I7Zao_12,,,,,,
"I've exercised in the past and that helped, but my schedule is difficult right now. I hoped Dr. Seal could prescribe something for when I feel overwhelmed.",P,67I6g1I7Zao_13,,,,,,
"He may be able to, but he's likely concerned about the alcohol interaction. On a scale of 0 to 10, how important is it for you to do something about your drinking right now?",T,67I6g1I7Zao_14,2.0,1.0,1.0,2.0,2.0,2.0
"If it's increasing my stress and preventing me from getting help, it's fairly important, maybe a seven.",P,67I6g1I7Zao_15,,,,,,
Why did you choose a seven and not a lower number?,T,67I6g1I7Zao_16,1.0,0.0,0.0,1.0,0.0,2.0
I have to get things under control. My kids depend on me and I have to work to ease this financial stress.,P,67I6g1I7Zao_17,,,,,,
What would bring that up to an eight or nine on the scale?,T,67I6g1I7Zao_18,1.0,0.0,0.0,1.0,0.0,2.0
The risk of drug interaction. I certainly can't afford to have any more stress in my life.,P,67I6g1I7Zao_19,,,,,,
So you'd rather lower your stress than increase it. How confident are you that you could change your drinking habits?,T,67I6g1I7Zao_20,2.0,1.0,1.0,2.0,1.0,2.0
"I'm pretty confident, probably about a seven or eight.",P,67I6g1I7Zao_21,,,,,,
And would you choose to cut down or quit altogether?,T,67I6g1I7Zao_22,1.0,0.0,0.0,1.0,0.0,2.0
"I'd like to try cutting back. However, if Dr. Seal says I have to stop to take medication for my anxiety, I'd be willing to do that for a period of time.",P,67I6g1I7Zao_23,,,,,,
"Based on that, how ready are you to make a change right now?",T,67I6g1I7Zao_24,2.0,1.0,1.0,2.0,1.0,2.0
"If I can find another way to manage the stress, I'd be pretty ready, maybe an eight.",P,67I6g1I7Zao_25,,,,,,
You seem very motivated to make this shift because of your responsibilities and your goal to lower your anxiety.,T,67I6g1I7Zao_26,2.0,1.0,1.0,2.0,1.0,2.0
"I'm confident you can follow through. Besides exercise, what is one other thing you think might help lower your stress?",T,67I6g1I7Zao_27,2.0,2.0,2.0,2.0,2.0,2.0
"Maybe just having someone to talk to, to bounce some ideas off of.",P,67I6g1I7Zao_28,,,,,,
We can set up an appointment for you to talk to one of our behavioral health specialists. I also have a pamphlet on healthy limits and how alcohol is affected by medication. I wish you the best of luck with these changes.,T,67I6g1I7Zao_29,1.0,1.0,2.0,1.0,0.0,2.0
Thank you very much.,P,67I6g1I7Zao_30,,,,,,
You're welcome.,T,67I6g1I7Zao_31,1.0,1.0,1.0,0.0,0.0,2.0
