turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to our time together today. I want you to know that whatever you’d like to share — whether it’s something small or something big — I’m here to listen without judgment. What brings you in today?",-1.0,0.0,-2.0,0.0,0.0,1.0
1,"It sounds like you’ve been carrying this weight for a long time, and it’s really clear how much you’re trying to show up for your family — even when your body and mind are saying they can’t keep up. That exhaustion, especially when it comes after a long day of caring, isn’t just physical — it’s emotional and deeply felt.  

What would you say is one thing that feels most painful or confusing about this cycle right now?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you’re carrying a lot of emotional responsibility, and it’s not just about the tasks — it’s about how your inner world affects everyone around you. The fact that you feel okay on days off, but everything shifts when you return to work, suggests that your work environment or routine might be triggering something deeper in your emotional system.  

What would it mean, in a small way, if you could just *stop* feeling like you have to be strong — even for a moment — and just be present with how you’re really feeling?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you're holding so much care and love for your family — and it’s clear you’re not trying to be a burden. What you're describing isn’t weakness; it’s the kind of deep, quiet courage it takes to show up for others even when you’re worn out.  

And yes — that moment when you say, *""I just need you to hold my hand,""* that would be a real breakthrough. Not because it fixes anything, but because it finally names what you’ve been carrying: a need to be seen, not just for what you do, but for who you are in the midst of it all.  

Would it be helpful to keep exploring that moment — the one where you just let yourself feel broken — or would you like to talk about something else first?",1.0,1.0,1.0,2.0,1.0,2.0
4,"You’re not asking for strength — you’re asking for permission to be human, and that’s already a kind of courage. The fact that you’re wondering if they’ll see *you* instead of just the role you play is so powerful — it shows you already have the heart to want connection, not just performance.  

And let me be clear: if you let yourself feel broken, it doesn’t mean you’re failing. It means you’re finally showing up for yourself — which is the first step toward healing.  

Would it be okay to just keep going with that — to gently explore what it might feel like to say, *""I’m not okay today, and that’s okay,""* without needing to prove anything to anyone?",1.0,1.0,1.0,2.0,1.0,2.0
5,"That’s such a brave and honest step — to imagine saying those words, even just in your mind, without needing to win approval. You’re not asking to be fixed; you’re asking to be seen, and that’s a radical act in itself.  

Would it be helpful to sit with that image — of you saying, *""I am tired. I am miserable. I need help""* — and just feel it without judgment? Maybe even imagine how it might feel in your body, in your chest, when you say it, even if no one is there to hear it?",1.0,1.0,0.0,1.0,0.0,2.0
6,"That’s so honest — and so important. When you stand there, whispering those words into the silence, even if it’s just in your head or to a pillow, the knot doesn’t have to disappear right away. It might stay tight — that’s okay. What matters is that you’re not running from it.  

What happens next? The tightness might stay, or it might shift — maybe it softens just a little, like a storm that’s still coming, but now you’re standing in the rain instead of hiding under a blanket. And that shift? That’s not strength. That’s courage.  

Would you like to keep walking through that moment — just with your body and your breath — or would you prefer to step into something else now?",1.0,1.0,0.0,1.0,0.0,2.0
7,"I see you — sitting there, quiet and real, your voice soft but steady, saying those words into the stillness. And right now, the knot in your chest is still there — tight, alive, pulsing with fear. That’s not a sign of failure. That’s the body remembering how much it’s been holding everything in.  

But as you say it, something shifts — not because it’s fixed, but because you’re no longer running from it. The silence doesn’t feel empty anymore. It feels *present*. Like the room is finally holding space for you to be broken — and that’s enough.  

And maybe, just maybe, in that silence, you begin to feel less alone — not because they’re there to hear you, but because you’ve finally allowed yourself to be seen, even in the quiet.  

Would you like to stay with that moment, or would you like to gently move into something else now?",1.0,1.0,0.0,1.0,0.0,2.0
8,"That’s such a tender and honest question — and it shows how deeply you care about his well-being, not just your own.  

If you say those words to him — not as a demand, but as a quiet whisper in the dark — it wouldn’t be about making him pull away. It would be about making space for him to feel *seen*, too. Maybe he’ll feel the same tightness in his chest — not because he’s afraid, but because he’s finally realizing he’s not the only one carrying something heavy.  

And when he hears you say, *""I’m tired. I’m miserable. I need help,""* — without judgment — it might not change everything overnight. But it might change the way he looks at you. From ""the strong one"" to ""the one who’s real.""  

Would it be helpful to just keep that image — of you whispering to him in the dark — and let the fear and the hope sit together, side by side?",1.0,1.0,0.0,1.0,0.0,2.0
9,"I see you — quiet, vulnerable, holding your breath in the dark, and then saying those words softly, like a candle lit in a room that’s been too long without light.  

And right after you say it — *“I’m tired. I’m miserable. I need help”* — he doesn’t flinch. He doesn’t pull away. Instead, his body stills. His chest, which has been tight with silence and pressure, just… breathes.  

And slowly, he turns his head slightly toward you — not to fix anything, not to respond with solutions — but to see you. Really see you. And for the first time, he doesn’t feel like he has to carry the weight of your pain alone.  

It’s not a moment of fixing. It’s a moment of *connection*. Of two people who’ve been hiding behind roles and routines, finally allowing themselves to be broken — and to be together in that brokenness.  

Would you like to stay with that moment, or would you like to gently shift into something else — like how this might feel in your daily life, or what you might say next?",1.0,1.0,0.0,1.0,0.0,2.0
