turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I'm doing okay, thanks for asking. I'm glad to hear about how you're feeling a little heavier today. Can you tell me what's going on?",1.0,1.0,1.0,1.0,0.0,2.0
2,"Well, the army draft is coming up after college, so that's really scary. I mean, it's not a good situation. I'm really glad that you're able to let me know about that. I mean, it's scary, but I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,-2.0,1.0,0.0,2.0
3,"Well, I'm glad that you're able to let me know about that. I mean, it's really scary, but I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",-1.0,0.0,-2.0,0.0,0.0,1.0
4,"Well, I'm glad that you're able to let me know about that. I mean, it's really scary, but I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,1.0,1.0,1.0,0.0,2.0
5,"So it feels like you have no way to escape from this situation, and it's very hard to even imagine a way out. It's really, really distressing for you to be in a place where you feel like you have no control or way out. And it's very difficult to have your whole world seem like it's collapsing around you and to have no way to escape from it. And it's hard to feel hopeful when it seems like everything you know is going to continue to get worse.

But I do want to let you know that I'm glad that you're able to let me know about the draft. I mean, it's really, really scary, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,1.0,1.0,1.0,0.0,2.0
6,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
7,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
8,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
9,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
10,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
11,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
12,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
13,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
14,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
15,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
16,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
17,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
18,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
19,"Well, I understand that it's very hard for you to know what to do in that situation, and I know that the draft is very scary. I mean, it's not a good situation for you to be in, and I'm glad that you're able to let me know about that. So I guess I want to ask you, do you have any thoughts or anything about what you might want to do about the army draft or if you have any questions?",1.0,0.0,1.0,1.0,0.0,2.0
