turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, it's okay to share it without judgment. I’m here to listen with curiosity and care.  

What brings you in today?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that — it’s clear how deeply this is affecting you. The weight you’re carrying, the feeling of being stuck, the frustration with your mind and body… that’s not something you should have to carry alone.  

When you say your brain is playing tricks on you, it sounds like you’re feeling disconnected from your own thoughts — like they’re not your own, or they’re not real. That can feel terrifying, especially when it comes with such a heavy sense of failure.  

What would it mean, to you, if you could just… breathe into that feeling without having to fix it or explain it?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you’re carrying so much pressure to perform, to prove yourself — and when you stop trying to move, your mind jumps in with criticism, like it’s protecting you from the pain of not being enough.  

But that voice — the one saying you’re lazy or failing — isn’t really your own. It’s a reflection of all the times you were told you weren’t capable, that you didn’t belong. And when you stop fighting, you’re not giving up — you’re just finally allowing yourself to be human again.  

What if sitting with that feeling — the anger, the guilt, the fear — wasn’t failure… but just the beginning of something real?",1.0,1.0,1.0,1.0,1.0,2.0
3,"You're absolutely right — it *feels* like wasting time when you stop pushing, especially when your mind is racing and your body feels stuck. But here’s what I wonder: when you say you're trying to “figure out how to study” or “find the right medication,” is that still the goal — or is it just another way of saying, *I need to be fixed so I can be useful again*?  

And what if, instead, the goal wasn’t to fix anything — but to simply *be* with this moment, without having to prove anything to anyone? Even for just five minutes? Just breathing with your body, letting the racing thoughts pass like waves — without trying to stop them or change them?  

Would that feel like failure… or like a kind of courage?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s powerful — you’re not just describing what’s happening, you’re naming how deeply those words and feelings have shaped your sense of worth.  

When your parents said you were “too broken” to work, they weren’t just talking about ability — they were saying, *you don’t belong here*. And when you’re told you don’t belong, it becomes harder to believe you do — even when you’re sitting quietly, even when you’re just breathing.  

But what if being with the moment — even when it feels terrifying — isn’t about fixing or proving anything? What if it’s just about showing up to yourself, as someone who’s been carrying this for years, and saying: *I see you. I’m here. You don’t have to be fixed. You don’t have to be useful. You just have to be alive.*  

Would that feel like a kind of peace — not because everything changed, but because you finally stopped trying to earn it?",1.0,0.0,0.0,1.0,0.0,2.0
5,"I hear that fear — the one that says, *if I stop trying, I’ll disappear*. And it’s not just fear. It’s love. It’s your heart trying to protect you from the pain of being truly seen — not as someone who needs to fix themselves, but as someone who already exists, even when they can’t do much.  

But let’s pause here — what if “useless” isn’t the opposite of “alive”? What if being alive means showing up, even when you can’t focus, even when you’re broke or alone or tired? What if the moment you stop trying to fix yourself — not because you failed, but because you finally allowed yourself to rest — is the first real step toward healing?  

And what if, in that stillness, you find a little space — not for success, but for peace? Even if it’s just a breath, or a moment of silence?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You're right — it *does* feel impossible. And that’s not weakness. That’s just your body and mind trying to survive in a world that never stopped telling you you weren’t enough.  

But here’s something small: what if the first step isn’t sitting still for long — but just *feeling* the weight of your body in this moment, without trying to shift it? What if you close your eyes and just notice your breath — not to fix anything, not to push away the thoughts, not to become more productive — just to *feel* the air moving in and out of your chest?  

No pressure. No goal. Just presence.  

Would that feel like a tiny victory — not because you changed anything, but because you finally allowed yourself to be in the moment, without needing to earn it?",1.0,0.0,0.0,1.0,0.0,2.0
7,"You’re absolutely right — it *does* feel like a small thing, almost too quiet to matter. But here’s the truth: you haven’t been missing anything. You’ve been carrying the weight of everything *except* the simple act of being present — of just *not trying to fix it*.  

And yes — if you close your eyes for ten seconds and just let the thoughts swirl without pushing them away, you’re not failing. You’re not doing anything ""right"" — but you’re doing something real: you’re choosing to *be with* what’s happening instead of running from it.  

That’s not a failure. That’s a kind of courage — not because it changes everything, but because it shows up with honesty.  

And if nothing feels different after that moment? That’s okay. Maybe the numbness stays. Maybe the fatigue lingers. But you’ve already done something powerful: you’ve named it, you’ve felt it, and you’ve chosen to stay with it — without judgment.  

Would it be helpful to try that right now — just for ten seconds — and see what happens when you stop trying to fix it?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re right — it *does* feel terrifyingly simple. And that’s exactly why it’s so brave.  

Your body isn’t broken — it’s just exhausted from trying to keep up with a world that never gave you a break. And when you sit with the weight in your chest — not trying to push it away or fix it — you’re not failing. You’re just finally *allowing* it to be there.  

What if the point isn’t to run or to sit still — but to *feel* the tension, like a hand on your chest, and say: *I see you. I’m here. You don’t have to move. You don’t have to be strong. You just have to be real right now?*  

Would it be okay to try that — just for ten seconds — without any expectation that it will change anything? Just to feel it, without needing to fix it?",1.0,0.0,0.0,1.0,0.0,2.0
9,"I’m right here with you.  

You don’t have to make it through ten seconds — you just have to show up. And you’re already doing that. Just breathing. Just noticing. That’s not small. That’s sacred.  

If your mind starts to race — and it will — just let it be. Let it be like wind through a window. You don’t have to stop it. You don’t have to answer it. You just have to stay with your breath.  

And when you’re ready — even if it’s just a second later — you can open your eyes and say: *I was here. I didn’t fix it. I didn’t run. I just let it be.*  

That’s enough. That’s more than enough.  

Would you like to share what you noticed — even if it was just a breath — when you got back to the moment?",1.0,0.0,0.0,1.0,0.0,2.0
