Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Jackie, how are you doing today?",T,P624_q04ZWg_1,1.0,1.0,0.0,1.0,0.0,2.0,0,0,-2,0,0,2,,"Hi, Carly. How are you doing today? I'm doing well, thanks for asking. How have things been?"
"You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.",T,P624_q04ZWg_3,1.0,0.0,0.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: Hi Jackie, how are you doing today?
Patient: Um, you know, I'm, I'm alright. How about you?","I'm doing well, thanks for asking. How have things been?"
You lost your job?,T,P624_q04ZWg_5,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Hi Jackie, how are you doing today?
Patient: Um, you know, I'm, I'm alright. How about you?
Therapist: You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.
Patient: Uh, yeah, I lost, I lost my job.",You lost your job? When was that?
"Were you aware that if there was an accident, you'd be drug tested?",T,P624_q04ZWg_7,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Hi Jackie, how are you doing today?
Patient: Um, you know, I'm, I'm alright. How about you?
Therapist: You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.
Patient: Uh, yeah, I lost, I lost my job.
Therapist: You lost your job?
Patient: Uh-huh. Um, because I failed a drug test. I have to drive a golf cart sometimes for my job and I just wasn't really paying attention as I was driving through the parking lot and I, I hit a car. Um, and I didn't think it was a big deal. It didn't even leave a big mark really, but the owner of the car got pretty pissed about it and they found out that I did it. I kind of admitted to it too. I didn't want to be getting in trouble for it. So then they, since it was an accident, you know, I kind of hit my head a little bit too. They made me take a drug test and, uh, I had smoked some weed the night before, so I failed it and was fired.","So you were fired because you failed a drug test. And you were driving a golf cart, you hit a car, you were fired because you failed a drug test. And you were driving a golf cart, you hit a car, you were fired because you failed a drug test. And you were driving a golf cart, you hit a car, you were fired because you failed a drug test. And you were driving a golf cart, you hit a car, you were fired because you failed a drug test. And you were driving a golf cart, you hit a car, you were fired because you failed a drug test. And you"
"Hm. So there, has there been consequences to losing your job?",T,P624_q04ZWg_9,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: You're alright? Yeah. I, I'm doing well, thanks for asking. I understand you've had some recent difficulties that brought you into our agency.
Patient: Uh, yeah, I lost, I lost my job.
Therapist: You lost your job?
Patient: Uh-huh. Um, because I failed a drug test. I have to drive a golf cart sometimes for my job and I just wasn't really paying attention as I was driving through the parking lot and I, I hit a car. Um, and I didn't think it was a big deal. It didn't even leave a big mark really, but the owner of the car got pretty pissed about it and they found out that I did it. I kind of admitted to it too. I didn't want to be getting in trouble for it. So then they, since it was an accident, you know, I kind of hit my head a little bit too. They made me take a drug test and, uh, I had smoked some weed the night before, so I failed it and was fired.
Therapist: Were you aware that if there was an accident, you'd be drug tested?
Patient: Um, you know, I, I didn't know that, no. I guess they might have told me at some point but I, I probably wasn't paying attention to it or I wasn't prepared for it.",So you weren't aware that an accident would lead to a drug test. And you were fired because you failed a drug test that was a consequence of an accident that you were not fully aware would lead to a drug test.
"Alright, what type of work do you do?",T,P624_q04ZWg_11,1.0,1.0,1.0,1.0,1.0,2.0,0,0,-2,0,0,2,"Therapist: You lost your job?
Patient: Uh-huh. Um, because I failed a drug test. I have to drive a golf cart sometimes for my job and I just wasn't really paying attention as I was driving through the parking lot and I, I hit a car. Um, and I didn't think it was a big deal. It didn't even leave a big mark really, but the owner of the car got pretty pissed about it and they found out that I did it. I kind of admitted to it too. I didn't want to be getting in trouble for it. So then they, since it was an accident, you know, I kind of hit my head a little bit too. They made me take a drug test and, uh, I had smoked some weed the night before, so I failed it and was fired.
Therapist: Were you aware that if there was an accident, you'd be drug tested?
Patient: Um, you know, I, I didn't know that, no. I guess they might have told me at some point but I, I probably wasn't paying attention to it or I wasn't prepared for it.
Therapist: Hm. So there, has there been consequences to losing your job?
Patient: Uh, yeah, I mean, my parents are not happy. Um, I'm not making any money, obviously, so they, uh, they're not very happy about me relying on them for, you know, gas money if I ever want to go anywhere or do anything with my friends. I have to ask them for money. So they're kind of, you know, pushing me to get a job and help support myself again.","So you're feeling pressure from your parents to get a job, but you're not sure if you want to get a job. You're not sure if you want to go back to school, but you're feeling pressure from your parents to do that. And you're feeling like you're not doing very well at your job, even though you're not doing very well at your job. Right. So you're feeling like you're failing at failing. Right. And you're feeling like you're failing at failing, but you're not sure if you're really failing. Right. So you're feeling like you're failing at failing,"
"All right. So, most of those employers would require a drug screen?",T,P624_q04ZWg_13,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,-1,0,-2,1,0,2,"Therapist: Were you aware that if there was an accident, you'd be drug tested?
Patient: Um, you know, I, I didn't know that, no. I guess they might have told me at some point but I, I probably wasn't paying attention to it or I wasn't prepared for it.
Therapist: Hm. So there, has there been consequences to losing your job?
Patient: Uh, yeah, I mean, my parents are not happy. Um, I'm not making any money, obviously, so they, uh, they're not very happy about me relying on them for, you know, gas money if I ever want to go anywhere or do anything with my friends. I have to ask them for money. So they're kind of, you know, pushing me to get a job and help support myself again.
Therapist: Alright, what type of work do you do?
Patient: Um, I work in security. Um, I kind of, I monitor parking lot, you know, take tickets, things like that, so.","Okay, so you work in security. And you lost your job there. And you feel like you were fired because of the way you were dressed. Is that what you believe happened?"
You think it should be legal?,T,P624_q04ZWg_15,1.0,0.0,-1.0,1.0,0.0,2.0,-1,-1,-2,1,0,1,"Therapist: Hm. So there, has there been consequences to losing your job?
Patient: Uh, yeah, I mean, my parents are not happy. Um, I'm not making any money, obviously, so they, uh, they're not very happy about me relying on them for, you know, gas money if I ever want to go anywhere or do anything with my friends. I have to ask them for money. So they're kind of, you know, pushing me to get a job and help support myself again.
Therapist: Alright, what type of work do you do?
Patient: Um, I work in security. Um, I kind of, I monitor parking lot, you know, take tickets, things like that, so.
Therapist: All right. So, most of those employers would require a drug screen?
Patient: Yeah, that's, that's my problem. Uh, I've been trying to look for a new job and, um, pretty much all of them have required drug tests, so I haven't gotten a new one yet. So that's becoming a problem. So that's why, you know, I want, I want to cut down but I haven't been able to. Um, so I really need a job. I mean, all these things are kind of silly that, you know, I don't, I find it silly. It should be, who cares if I smoke a little weed, you know, it should be legal.",So you feel like the drug testing policy is unreasonable.
So you want to stop using marijuana altogether?,T,P624_q04ZWg_17,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,0,2,"Therapist: Alright, what type of work do you do?
Patient: Um, I work in security. Um, I kind of, I monitor parking lot, you know, take tickets, things like that, so.
Therapist: All right. So, most of those employers would require a drug screen?
Patient: Yeah, that's, that's my problem. Uh, I've been trying to look for a new job and, um, pretty much all of them have required drug tests, so I haven't gotten a new one yet. So that's becoming a problem. So that's why, you know, I want, I want to cut down but I haven't been able to. Um, so I really need a job. I mean, all these things are kind of silly that, you know, I don't, I find it silly. It should be, who cares if I smoke a little weed, you know, it should be legal.
Therapist: You think it should be legal?
Patient: Yeah. I mean, what's the harm really? I didn't hurt anyone. So, so yeah, but I, I really do need a job. So I'm, I'm here to kind of get a handle on that.","All right. So you're here today because you're looking for a job and you're concerned about the drug test that you might have to take for that job. All right. So, tell me a little bit about the job you're looking for."
"All right, can you tell me about your marijuana use now? Like, when was the last time you used?",T,P624_q04ZWg_19,-1.0,-1.0,-2.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: All right. So, most of those employers would require a drug screen?
Patient: Yeah, that's, that's my problem. Uh, I've been trying to look for a new job and, um, pretty much all of them have required drug tests, so I haven't gotten a new one yet. So that's becoming a problem. So that's why, you know, I want, I want to cut down but I haven't been able to. Um, so I really need a job. I mean, all these things are kind of silly that, you know, I don't, I find it silly. It should be, who cares if I smoke a little weed, you know, it should be legal.
Therapist: You think it should be legal?
Patient: Yeah. I mean, what's the harm really? I didn't hurt anyone. So, so yeah, but I, I really do need a job. So I'm, I'm here to kind of get a handle on that.
Therapist: So you want to stop using marijuana altogether?
Patient: Yeah, I'm going to have to to get a job I think, you know, I don't want to fail a random drug test again.",So you want to stop using marijuana to get a job?
"All right, so recently. And how about the course? Like, when did you start using marijuana?",T,P624_q04ZWg_21,1.0,0.0,1.0,1.0,0.0,2.0,1,0,1,1,0,2,"Therapist: You think it should be legal?
Patient: Yeah. I mean, what's the harm really? I didn't hurt anyone. So, so yeah, but I, I really do need a job. So I'm, I'm here to kind of get a handle on that.
Therapist: So you want to stop using marijuana altogether?
Patient: Yeah, I'm going to have to to get a job I think, you know, I don't want to fail a random drug test again.
Therapist: All right, can you tell me about your marijuana use now? Like, when was the last time you used?
Patient: Um, uh, I actually was hanging out with some friends or my roommate this morning. Well, not my roommate, but my friend that comes over and stays with me sometimes and we got high this morning, so.",So this morning? And when was the last time you used before this morning?
All right. Any other drugs or alcohol or anything? Just marijuana?,T,P624_q04ZWg_23,1.0,0.0,-1.0,1.0,0.0,2.0,-1,-1,-2,0,0,1,"Therapist: So you want to stop using marijuana altogether?
Patient: Yeah, I'm going to have to to get a job I think, you know, I don't want to fail a random drug test again.
Therapist: All right, can you tell me about your marijuana use now? Like, when was the last time you used?
Patient: Um, uh, I actually was hanging out with some friends or my roommate this morning. Well, not my roommate, but my friend that comes over and stays with me sometimes and we got high this morning, so.
Therapist: All right, so recently. And how about the course? Like, when did you start using marijuana?
Patient: A long time ago. I've been using probably since I mean, since I was in high school I started and it's kind of just been a big part of my life. I mean, my friends do it, all my friends do. Um, so, yeah.","All right, so you've been using for a long time, but you had a recent use this morning. And you're worried about the drug test that you're going to take. Is that the first time you're worried about a drug test?"
Have you noticed over time you've been using more?,T,P624_q04ZWg_25,1.0,0.0,0.0,1.0,0.0,2.0,-1,0,-1,1,0,2,"Therapist: All right, can you tell me about your marijuana use now? Like, when was the last time you used?
Patient: Um, uh, I actually was hanging out with some friends or my roommate this morning. Well, not my roommate, but my friend that comes over and stays with me sometimes and we got high this morning, so.
Therapist: All right, so recently. And how about the course? Like, when did you start using marijuana?
Patient: A long time ago. I've been using probably since I mean, since I was in high school I started and it's kind of just been a big part of my life. I mean, my friends do it, all my friends do. Um, so, yeah.
Therapist: All right. Any other drugs or alcohol or anything? Just marijuana?
Patient: No, just, just marijuana, yeah.","All right. So you've been using for a long time, but you were high this morning. And you're having some anxiety and you're worried about what might happen if you stop using. Is that right?"
"So it's consuming a lot of time, marijuana?",T,P624_q04ZWg_27,1.0,1.0,1.0,1.0,1.0,2.0,-1,0,-2,0,0,2,"Therapist: All right, so recently. And how about the course? Like, when did you start using marijuana?
Patient: A long time ago. I've been using probably since I mean, since I was in high school I started and it's kind of just been a big part of my life. I mean, my friends do it, all my friends do. Um, so, yeah.
Therapist: All right. Any other drugs or alcohol or anything? Just marijuana?
Patient: No, just, just marijuana, yeah.
Therapist: Have you noticed over time you've been using more?
Patient: Yeah, I mean, you know, I try to cut down a little bit. I'll kind of say, 'Oh, just smoke a little bit,' and then, you know, when I'm hanging it with - hanging out with my friends, we'll end up just being high for a really long time and that's just what we'll do all night. So.","All right. So you're trying to cut down, but it seems like when you're with your friends, that's what you all end up doing. So you end up smoking more than you intended. All right. So you're trying to cut down, but it seems like when you're with your friends, that's what you all end up doing. So you end up smoking more than you intended. All right. So you're trying to cut down, but it seems like when you're with your friends, that's what you all end up doing. So you end up smoking more than you intended. All right. So you"
All right. You have a craving for marijuana?,T,P624_q04ZWg_29,1.0,1.0,-2.0,1.0,0.0,2.0,-1,-1,-2,0,0,1,"Therapist: All right. Any other drugs or alcohol or anything? Just marijuana?
Patient: No, just, just marijuana, yeah.
Therapist: Have you noticed over time you've been using more?
Patient: Yeah, I mean, you know, I try to cut down a little bit. I'll kind of say, 'Oh, just smoke a little bit,' and then, you know, when I'm hanging it with - hanging out with my friends, we'll end up just being high for a really long time and that's just what we'll do all night. So.
Therapist: So it's consuming a lot of time, marijuana?
Patient: Yeah. Yeah, you know, I'm kind of always thinking about how I'm going to get more and trying to get a hold of my guy and so it really does take up a lot of my time and it's kind of a distraction. So.","So it's a distraction, but it's also consuming a lot of your time. And you're trying to cut down, but it's hard to do that when you're hanging out with your friends and they're all smoking. Right. So you're trying to cut down, but it's hard to do that when you're hanging out with your friends and they're all smoking. Right. So you're trying to cut down, but it's hard to do that when you're hanging out with your friends and they're all smoking. Right. So you're trying to cut down, but it's hard to do that when you're"
"Now, have you had any social problems because of your marijuana use?",T,P624_q04ZWg_31,-1.0,0.0,-2.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Have you noticed over time you've been using more?
Patient: Yeah, I mean, you know, I try to cut down a little bit. I'll kind of say, 'Oh, just smoke a little bit,' and then, you know, when I'm hanging it with - hanging out with my friends, we'll end up just being high for a really long time and that's just what we'll do all night. So.
Therapist: So it's consuming a lot of time, marijuana?
Patient: Yeah. Yeah, you know, I'm kind of always thinking about how I'm going to get more and trying to get a hold of my guy and so it really does take up a lot of my time and it's kind of a distraction. So.
Therapist: All right. You have a craving for marijuana?
Patient: Uh, no, I guess not really.","No craving? All right. So you're not really feeling like you have a craving for it, but you're still smoking a lot of it. How much are you smoking a day?"
Are there other important activities that you miss out on because of your marijuana use? Outside of work.,T,P624_q04ZWg_33,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: So it's consuming a lot of time, marijuana?
Patient: Yeah. Yeah, you know, I'm kind of always thinking about how I'm going to get more and trying to get a hold of my guy and so it really does take up a lot of my time and it's kind of a distraction. So.
Therapist: All right. You have a craving for marijuana?
Patient: Uh, no, I guess not really.
Therapist: Now, have you had any social problems because of your marijuana use?
Patient: Um, I would say not other than my work. I mean, my friends all do it, they don't have a problem with it, so.",All right. So your work is the only place where you have a problem with the marijuana use?
You don't miss much. Are there any activities that you engage in that are more dangerous because of your marijuana use?,T,P624_q04ZWg_35,1.0,1.0,1.0,1.0,1.0,2.0,-1,-1,-2,1,0,2,"Therapist: All right. You have a craving for marijuana?
Patient: Uh, no, I guess not really.
Therapist: Now, have you had any social problems because of your marijuana use?
Patient: Um, I would say not other than my work. I mean, my friends all do it, they don't have a problem with it, so.
Therapist: Are there other important activities that you miss out on because of your marijuana use? Outside of work.
Patient: Hmm, no, not - I mean, I don't really do a whole lot, so I don't really miss out on much.","Okay. So, you know, you're not missing out on important social events or anything like that."
