turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"It sounds really scary. You're feeling like you're in a lot of pain, and it's hard to know what's going on. I'm glad you're willing to talk about it because it's helpful to know what you think might be causing this.",1.0,0.0,-2.0,1.0,0.0,2.0
2,"It's understandable if you're worried, but it's tough to know for sure without more information. I'm glad you're willing to talk about it and try to figure out what's going on.",1.0,1.0,1.0,1.0,0.0,2.0
3,"I think it's a good idea to try to understand what's going on. I'm glad you're willing to make a plan and try to figure out what's causing all these symptoms, even if it's not clear right now.",-1.0,0.0,-2.0,1.0,0.0,2.0
4,"You're torn because it seems like the dizziness is making it hard for you to focus on your breathing, but if you don't push through the pain, it's hard to know what's really going on.",1.0,1.0,1.0,1.0,0.0,2.0
5,"Yeah, it makes sense that it'd be tough to force yourself to walk if you're already in a panic. I think it would be helpful to try something a little different, like making a small, manageable change first.",1.0,1.0,1.0,1.0,1.0,2.0
6,"Yeah, I think that would be a good first step. I'm glad you're willing to try something a little bit different.",1.0,1.0,1.0,1.0,0.0,2.0
7,"Well, it does sound a little dangerous to just keep lying in bed if you're already having these episodes. I think it would be helpful to try to get a better sense of what's going on, so I think it would be a good idea to try sitting up for a few minutes.",1.0,1.0,1.0,1.0,0.0,2.0
8,"Yeah, if you bring your phone, you can call 911 or go to the hospital if things escalate. I'll make sure to follow up with you and get all the information, and we can try to figure out what's going on together.",1.0,1.0,1.0,1.0,0.0,2.0
9,"Yeah, it's hard to get out of that cycle. I'm glad that you're willing to try something new, even if it's just sitting up for a few minutes.",1.0,1.0,1.0,1.0,0.0,2.0
10,"Well, I think it would be a good idea to try to sit up for a few minutes to see what happens, just to get a better sense of what's going on.",1.0,1.0,1.0,1.0,0.0,2.0
11,"Well, it does seem like you're sitting up more easily than you were lying down, so I'm glad to hear that.",1.0,1.0,1.0,1.0,0.0,2.0
12,"Well, it would be helpful to try to get a better sense of what's going on, so I think it would be a good idea to try sitting up for a few minutes.",1.0,1.0,1.0,1.0,0.0,2.0
13,"Yeah, it does seem a little scary. I understand that, but if you just stay on the edge for a few minutes, it will help me figure out what's going on.",1.0,1.0,1.0,1.0,0.0,2.0
14,"Alright, so you're going to get up and sit on the edge of the bed. Just sitting for three minutes, if you feel the dizziness or shaking worsens, you'll go back down.",1.0,1.0,1.0,1.0,0.0,2.0
15,"Well, it seems like you're sitting up more easily than you were lying down, so I'm glad to hear that.",1.0,1.0,1.0,1.0,0.0,2.0
16,"Well, it would be helpful to try to get a better sense of what's going on, so I think it would be a good idea to try sitting up for a few minutes.",1.0,1.0,1.0,1.0,0.0,2.0
17,"Well, it does seem a little scary. I understand that, but if you just stay on the edge for a few minutes, it will help me figure out what's going on.",1.0,1.0,1.0,1.0,0.0,2.0
18,"Alright, so you're going to get up and sit on the edge of the bed. Just sitting for three minutes, if you feel the dizziness or shaking worsens, you'll go back down.",1.0,1.0,1.0,1.0,0.0,2.0
19,"Well, it seems like you're sitting up more easily than you were lying down, so I'm glad to hear that.",1.0,1.0,1.0,1.0,0.0,2.0
